Twitter Content,Label,Date,Confidence Score
aaaaaaaaaaaaaaaaaaaaa,sus_spam,10/29/20,48
dsadad,con_spam,10/29/20,14
In the knowledge Data Discovery model there is already a lump sum of data available to the system  whereas in UDD mod,con_spam,10/29/20,33
"value of the key to be present in JSON so we can use this value in our system. In this case, we need to be sure that value is present for a key, and if it is none or not present, we use the default value",con_spam,10/29/20,52
dasdasdadsada,sus_spam,10/29/20,51
dsadasdasdas,con_spam,10/29/20,66
"When I try to convert it to string, it's showing an error like",sus_spam,10/29/20,7
"Conversion to a string is done with the builtin str() function, which basically calls the __str__() method of its paramet",sus_spam,10/29/20,29
Reminder that if you go down,con_spam,10/29/20,79
Reminder that if you go down 33% and up 33% you��re still down 11%.,sus_spam,10/29/20,80
fdfsfdfffdsfsd,sus_spam,10/29/20,49
vcvxcvxcvxcvx,con_spam,10/29/20,23
dasdadadad,con_spam,10/29/20,100
czcczczzxcz,sus_spam,10/30/20,44
dcxzczczxcz,con_spam,10/30/20,100
qqqqqqqqqq,sus_benign,10/30/20,20
qqqqqqqqqqqqqqqqqqqqqqqqqqqq,con_spam,10/30/20,100
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/02/20,18
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/02/20,77
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/02/20,29
dsadas,con_spam,11/02/20,100
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/05/20,26
aaa,con_spam,11/05/20,100
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/05/20,91
aaa,sus_benign,11/05/20,34
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/05/20,17
aaaaaaaaaaaaaaaaaaaaa,sus_spam,11/05/20,96
aaaaa,sus_benign,11/05/20,81
dsadad,sus_benign,11/05/20,16
cxzczczxczczx,sus_spam,11/05/20,26
czxczxczzx,sus_benign,11/05/20,52
420 is ten times better than 42,con_spam,11/05/20,100
420 is ten times better than 42,sus_spam,11/05/20,43
"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",con_spam,11/05/20,100
"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",sus_spam,11/05/20,17
"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",sus_spam,11/05/20,23
420 is ten times better than 42,sus_benign,11/05/20,21
"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",sus_benign,11/05/20,47
Falcon 9��s first stage lands on the Of Course I Still Love You droneship,sus_benign,11/05/20,66
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,4
"This is not a forward-looking statement, because, obviously, what's the point?",sus_benign,11/05/20,59
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,97
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,43
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,6
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,96
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,28
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,60
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,55
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,60
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,85
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_benign,11/05/20,69
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_spam,11/05/20,91
"This is not a forward-looking statement, because, obviously, what's the point?",sus_benign,11/05/20,63
Happy New Month!,sus_benign,11/05/20,35
"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks.",sus_spam,11/05/20,78
Teslaquilla. Please make this happen!,sus_benign,11/05/20,96
