Id,Tweet,following,followers,actions,is_retweet,location,Type
10091,It's the everything else that's complicated. #PESummit #PXpic.twitter.com/Jsv6BAFQMl,0.0,11500.0,,0.0,Chicago,Quality
10172,Eren sent a glare towards Mikasa then nodded and stood up to go help his lovely girlfriend @SincerePyrrhic. Once he arrived in the kitchen⎯,0.0,0.0,,0.0,,Quality
7012,I posted a new photo to Facebook http://fb.me/2Be7LiyuJ,0.0,0.0,,0.0,"Scotland, U.K",Quality
3697,#jan Idiot Chelsea Handler Diagnoses Trump With a Disease https://t.co/k8PrqcWTRI https://t.co/dRN35xtSJZ,3319.0,611.0,294.0,0.0,FBBIGBANG&2NE1TH,Spam
10740,Pedophile Anthony Weiner is TERRIFIED of Getting Beaten Up in Prison https://t.co/g3bU9Q4gAg,4840.0,1724.0,1522.0,0.0,www.instagram.com/fender,Spam
9572,EBMUD ending penalties for excessive water users https://t.co/D5a1FMVMHd,4435.0,16041.0,27750.0,0.0,"Noida, NCR, India",Spam
10792,Big day.  #WeTheNorth #yyz #thesix #sunset #skyline @ The Six https://www.instagram.com/p/BFgrA9gBZay/,0.0,0.0,0.0,0.0,"Toronto, ON",Quality
11594,"#UPA #scams to the tune of Rs 12 lakh Crore #Shame
""Con""gress - Conning India since Independence!
@INCIndia @IYCpic.twitter.com/0ZHSYhX5c2",0.0,193000.0,,0.0,Mumbai,Quality
12594,"**MISSING**
A male tabby cat has gone missing in the N10 area of #London. Please RT!
https://mylostbox.com/item/missing-tabby-cat-named-buttons/ …pic.twitter.com/3Msg3NmZ0x",39000.0,46900.0,47.0,0.0,UK,Quality
10963,Paraguayan man linked to Hezbollah faces drug charges in Miami https://t.co/zBLCgoqO2I https://t.co/vZHbCMx28S,9025.0,20165.0,6331.0,0.0,"Uppsala, Sverige",Spam
10778,Tagged by @CFOAlbaAsturias @AlbaSweetCFpic.twitter.com/sTfpjwrFSC,0.0,0.0,,0.0,"siempre, rct",Quality
4174,"""WE ORDERED THE SAME THING, WHY YOU EATING OFF MY PLATE?!""

""BECAUSE I WANT TO, YOURS MIGHT TASTE BETTER""pic.twitter.com/0n1cUA8aPv",0.0,0.0,,0.0,,Quality
5401,"#NowPlaying: De La Soul feat. Roc Marciano ""Property of https://t.co/KZmwHSA5nn"" #music https://t.co/f3LFKzB1Ct",780.0,897.0,4792.0,1.0,#BlackLivesMatter,Spam
7636,The Guardian: Trump's Tweets Keep U.S. Manufacturers on Their Toes #MAGA #AmericaFirst #PresidentTrump  https://t.co/V0sQskFolF https://t.co/jhxaxLDowy,1893.0,1651.0,3564.0,1.0,"Abuja, Nigeria",Spam
6908,Terrorists. https://t.co/RQkQXroDNB,7981.0,12815.0,13601.0,1.0,Real World,Spam
5265,Eastside Ivo (@eastside_ivo) came through Real Talk on Sunday. Sorry we couldn't be more… https://www.instagram.com/p/BFgq0pRCzfS/,0.0,0.0,0.0,0.0,,Quality
10433,Boston bombing survivor s charity gives 1st artificial limb #DemnDebate #DemDebate #tcot,85.0,73.0,434.0,0.0,"Lexington, KY",Spam
1643,Lovelyz - Bookmark  https://twitter.com/shaytyen/status/726671432202117120/video/1 …,0.0,0.0,,0.0,LovelyzRP,Quality
2445,Happy #TideTuesday everyone I live you  @TheTideAustin @TheTideDrew @TheTideLevi @TheTideNate,0.0,0.0,259.0,0.0,em,Quality
5841,"normal person: 30% used phone memory space.
when i met bangtan: no more phone memory space.

Reason:
-60% bts shit.
-40% bts handsome faceu.",0.0,0.0,,0.0,"strong power, thank you!",Quality
12562,[#MONSTA_X] #TheCLAN #더클랜 #로스트 #ALL_IN #컴백 Here >> https://youtu.be/wNxPGbk-gwA https://twitter.com/OfficialMonstaX/status/732586501964365824 …,0.0,0.0,0.0,0.0,"N, City",Quality
4941,Oh damn!! https://t.co/KgGPYXogqf https://t.co/aLrDErjv2U,856.0,1093.0,6219.0,1.0,pineapple under the sea,Spam
5200,Amin http://fb.me/7pXHVvKo0,0.0,0.0,0.0,0.0,,Quality
11869,Is Hyperloop the future of travel? http://fb.me/3QdMfJDWC,0.0,0.0,0.0,0.0,Birmingham,Quality
12385,'it is fear of going into debt that most puts people from poorer backgrounds off going to university.' G Osbornehttp://www.mirror.co.uk/news/uk-news/george-osborne-letter-13-years-7989350 …,0.0,0.0,,0.0,UK,Quality
12239,I was really putting my money on the hookers,0.0,0.0,,0.0,"Denver, CO",Quality
3481,@misslyndaleigh good afternoon lynda hope your well xxxx,0.0,0.0,0.0,0.0,"Swindon, England",Quality
7237,#walterscott The public executions of Black men and boys is a public health emergency. Bias jurors. Bias system. No Justice.,456.0,821.0,5797.0,1.0,OuterSpace,Spam
8219,Turkey declares curfew in Diyarbakir area to fight Kurdish militants  #world #news,14242.0,13235.0,28238.0,0.0,"Santa Cruz, CA",Spam
9597,Jerry Sandusky denies child molestation charges in court https://t.co/YaAlPIhnve,7155.0,16929.0,33170.0,0.0,Probaby high with Jaime,Spam
1662,IS THAT KIHYUN AND HYUNGWON,0.0,0.0,,0.0,"151206, 180301-03",Quality
2348,'Gun for hire': how Jeff Sessions used his prosecuting power to target Democrats - the guardian https://t.co/6zO230G4Y8,2651.0,2703.0,3775.0,1.0,"Global (HQ: Pune, India)",Spam
7341,"Drake tell girls stuff like ""you finer than yo fine cousin"" and wonder why he always having relationship problems",0.0,195000.0,,0.0,"Los Angeles, CA",Quality
2995,DICEpic.twitter.com/sC8opTlO97,0.0,2580000.0,,0.0,,Quality
4152,hopefully the super characters will be in it but I doubt it,0.0,0.0,,1.0,Scotland,Quality
11601,Sevilla have won eight trophies in nine years at a £160m transfer profit… Monchi is Mr Moneyball behind their succ… http://ift.tt/1TVnnDg,0.0,0.0,0.0,0.0,,Quality
12365,"Senior year wouldnt be a blast without you guys.  
Thanks for the memories and lets make it out there (-:pic.twitter.com/wAtQnv5mgR",0.0,0.0,,0.0,single and ready to mingle,Quality
11451,amen to that hail to faking it,0.0,0.0,,0.0,KARMY'S  ❤️,Quality
4490,damn...,0.0,0.0,0.0,0.0,Dallas,Quality
12203,@playbingobash Gems are sparkling everywhere! in #BingoBash!!! http://bash.gg/1Y35AQ0,0.0,0.0,0.0,0.0,brunei,Quality
12308,All I wanna do lately is sleep.,0.0,0.0,2.0,0.0,Michigan/Wisconsin,Quality
2198,"NFL Owners Condemn Trump For Supporting Our Cops, Vets and Flag https://t.co/XC6sHo4Gyu",4779.0,1565.0,1173.0,0.0,Hell aka cheetopuff land,Spam
5403,& how's it visible to the eye? If you don't answer this correctly w/ the answer YOU KNOW YOURE HIDING I'm done @Magicevomonkey. Not playing,0.0,100.0,2028.0,1.0,warning: 18+ content.,Spam
11659,Australian Open champion Kerber falls in Paris first round  #sports,8606.0,12299.0,22201.0,0.0,somewhere your not!,Spam
10570,Beautiful new editions of some of our favourite poetry? Why thank you @FaberBooks don't mind if we do!pic.twitter.com/vhmorUi5Ho,0.0,0.0,4.0,0.0,"Linlithgow, Scotland, UK",Quality
8426,"Remy was killing shit long before ""Lean Back'. It ain't our fault y'all bitches are like 19 and don't know what's up.",547.0,471.0,4840.0,1.0,New York Native in Atlanta,Spam
11586,When James Clapper got away with perjury - American Thinker #MAGA #NSA #PJNET 999 https://t.co/uoiAXcdvdQ https://t.co/pYuBG1CFmW,10.0,4.0,1266.0,0.0,New York!,Spam
9788,#politics France hunts for 2 suspects; Nation mourns their victims,0.0,1.0,4.0,0.0,"Brantford, Ontario",Spam
264,Now Playing: Young MA - Hot Sauce -&gt; https://t.co/eMX9JgTv3v,739.0,801.0,5451.0,0.0,"Southeast Washington, DC",Spam
4141,Trump Crashes New Jersey Wedding https://t.co/ikqWWmtlCg https://t.co/c9mo3xL7Yc,7121.0,16705.0,17951.0,0.0,"New Delhi, India",Spam
5627,2 Attacked by Hawks on NYC College Campus: Officials https://t.co/tVL2xHitu0,6789.0,59612.0,49649.0,0.0,kampala uganda,Spam
11834,Friday Football Fever: Week 9 Video https://t.co/XnNP0Exvwp #news,5171.0,25363.0,42960.0,0.0,Pavia,Spam
11464,North Side Chase Ends With Crash Into Gas Station Under Construction  #news,3274.0,13160.0,15861.0,0.0,Dema,Spam
812,desserts attract me.,0.0,0.0,,1.0,Not in her comfort zone,Quality
10347,Can I joined? https://twitter.com/Ashton_Appr_acc/status/732581282836676609 …,0.0,0.0,,0.0,manila,Quality
6214,#Al_Shabab's lessons for #IslamicState  https://t.co/e6Rytm6Njt https://t.co/qOUHIW2CZl,7302.0,16504.0,2488.0,0.0,"Hillaryville, LA",Spam
3661,Glory to #God not what's downloaded on your iPod..,997.0,1057.0,1790.0,1.0,"Alabama, USA",Spam
8288,Good morning tweeps what's for breakfast,0.0,0.0,0.0,0.0,"Dallas, TX",Quality
8817,BREAKING: Social Security Amounts Under Trump WILL Increase To https://t.co/0WVf1wB6KI https://t.co/rt2EVwv0UX,3135.0,2695.0,2330.0,1.0,World Wide Web,Spam
6160,"#TurkeyAggressor Could #RussianPlane The Greek Analyst added,",121.0,70.0,303.0,0.0,"Bidar,  Karnataka, India",Spam
11276,"AND TISOY @aldenrichards02  POSTED LETTER LIKE M
#ALDUBLoversInITALYpic.twitter.com/rUYNKR3vw5",0.0,0.0,0.0,0.0,KUWAIT,Quality
